Chromosome	Start	End	Index	Probe	FlagIndex
1	713942	714080	1	1_cg16047670	1
1	714103	714245	2	2_cg01014490	1
1	714448	714515	3	3_cg04231937	1
1	714517	714607	4	4_cg04231937	1
1	762572	762736	5	5_cg24699430	0
1	762802	762887	6	6_cg01551879;cg02550592;cg22394869	0
1	763052	763214	7	7_cg03213877;cg19411932;cg23803172	1
1	840195	840336	8	8_cg13371836	1
1	840548	840707	9	9_cg04407431	1
1	860850	861026	10	10_cg03180780;cg03735847	1
1	861102	861258	11	11_cg09166659	1
1	875802	875946	12	12_cg23440882	1
1	895965	896073	13	13_cg11132698	0
1	934330	934477	14	14_cg15578015	1
1	934585	934731	15	15_cg23205003	1
1	934830	934985	16	16_cg17907238	1
1	935380	935522	17	17_cg12257384	1
1	935823	935926	18	18_cg00447632	0
1	936160	936309	19	19_cg25066040	1
1	955640	955822	20	21_cg07008945;cg11726631	0
1	969254	969323	21	22_cg09248054	0
1	976100	976261	22	23_cg23625715;cg26222311	0
1	994510	994713	23	24_cg12647165;cg21607076	1
1	994935	995077	24	25_cg02482614	0
1	999645	999785	25	26_cg02105666	1
1	1004695	1004837	26	27_cg16095440	1
1	1051825	1051992	27	29_cg03705284;cg08881995	0
1	1052015	1052162	28	30_cg15030799	1
1	1057603	1057742	29	31_cg27582017	1
1	1092916	1093012	30	32_cg15988843	0
1	1093282	1093399	31	33_cg20256117	0
1	1108940	1109179	32	34_PET_CpG	1
1	1136331	1136482	33	35_cg05952202	1
1	1137050	1137199	34	36_cg06778273	1
1	1141715	1141857	35	37_cg08641866	1
1	1141911	1142071	36	38_cg06097659	1
1	1143945	1144231	37	39_PET_CpG	1
1	1144331	1144704	38	39_PET_CpG	1
1	1148510	1148999	39	40_PET_CpG	1
1	1167232	1167345	40	41_cg03392900;cg14074924;cg18387017	0
1	1167402	1167437	41	41_cg03392900;cg14074924;cg18387017	0
1	1182157	1182293	42	42_cg25594899	0
1	1208630	1208770	43	43_cg16717690	1
1	1209117	1209199	44	44_cg02581421	0
1	1240842	1241012	45	45_PET_CpG	1
1	1242817	1242976	46	46_cg00086266;cg24157952	0
1	1243482	1243549	47	47_cg04840417;cg06984883;cg07425625	0
1	1243622	1243654	48	47_cg04840417;cg06984883;cg07425625	0
1	1244277	1244387	49	48_cg18224588	0
1	1259648	1259787	50	49_cg13183628;cg20236831;cg21197375	0
1	1259835	1259978	51	50_cg06038049	1
1	1260420	1260556	52	51_cg19827148	1
1	1284237	1284384	53	52_cg09236098	1
1	1285172	1285287	54	53_cg17873420	0
1	1289625	1290542	55	54_PET_CpG	1
1	1290647	1291088	56	54_PET_CpG	1
1	1306708	1306851	57	55_PET_CpG	1
1	1306972	1307501	58	56_PET_CpG	1
1	1310637	1310783	59	57_cg15604233	1
1	1334720	1334897	60	58_cg07191003;cg08470185;cg13053783;cg15130241	0
1	1335347	1335492	61	59_cg00173405	1
1	1342150	1342296	62	60_cg21439539	1
1	1342482	1342777	63	61_cg05048680;cg16728516;cg25769755	1
1	1343002	1343139	64	62_cg05595602	1
1	1362160	1362317	65	63_PET_CpG	1
1	1369410	1370261	66	64_PET_CpG	1
1	1395924	1396232	67	65_PET_CpG	1
1	1406769	1407256	68	66_cg04286729;cg10240778;cg07490279;cg10228629;cg15875062	0
1	1446969	1447130	69	67_cg17464271	1
1	1447159	1447438	70	68_cg12648677;cg22225258	1
1	1475019	1475212	71	69_PET_CpG	0
1	1475593	1475737	72	70_cg15487867;cg16306898;cg22497741;69_PET_CpG	0
1	1509801	1509946	73	71_cg05181565	1
1	1510279	1510636	74	72_cg06199750;cg13424097;cg19158176;cg26221637	1
1	1510646	1510789	75	73_cg03528848	1
1	1534904	1535057	76	74_cg16358446	1
1	1535084	1535220	77	75_cg08289140	1
1	1550570	1550752	78	76_cg06761793;cg17271960;cg18123911;cg25880288;cg10705488;cg11140595	0
1	1550887	1550945	79	76_cg06761793;cg17271960;cg18123911;cg25880288;cg10705488;cg11140595	0
1	1566620	1566673	80	77_cg08231710	0
1	1590269	1590546	81	78_cg00998168;cg21149807;cg15126211	1
1	1590555	1590733	82	79_cg08864381;cg20155988	1
1	1609190	1609609	83	80_PET_CpG	1
1	1623776	1623893	84	81_cg12100965	1
1	1655589	1655707	85	82_cg16248785	1
1	1677049	1677189	86	83_cg01738944;cg23983334;cg20597714	0
1	1677651	1677763	87	84_cg04100492	1
1	1711631	1711910	88	86_PET_CpG	1
1	1823326	1823466	89	88_PET_CpG	1
1	1837796	1837944	90	89_cg23936745	1
1	1840405	1840522	91	90_cg00309462	0
1	1850510	1850659	92	91_cg15496744	0
1	1850886	1851206	93	92_cg08134829;cg17722231;cg25590392;cg08169659;cg14180718	0
1	1941902	1942058	94	93_PET_CpG	1
1	1976314	1976401	95	94_cg05597180	0
1	1976532	1976687	96	95_cg13298359	1
1	2064614	2064713	97	96_cg23844174;cg25466090	0
1	2126700	2126840	98	98_cg19641395	1
1	2136836	2136910	99	99_cg16296290	0
1	2136990	2137144	100	100_cg03315007	1
1	2158559	2158696	101	101_cg11155915	0
1	2158960	2159053	102	102_cg13400516	0
1	2187170	2187484	103	103_PET_CpG	1
1	2221788	2222883	104	104_PET_CpG;105_cg22940848	1
1	2231755	2232842	105	106_PET_CpG;107_cg23015118	1
1	2246906	2247049	106	108_PET_CpG	0
1	2322905	2323037	107	109_cg17444015;cg18860787	0
1	2323349	2323459	108	110_cg04559183	0
1	2343647	2343787	109	111_cg23668539	1
1	2344244	2344475	110	112_cg01064573;cg22535228;cg23812581;cg15644742;cg19777550	0
1	2344502	2344666	111	113_cg02573276;cg24196923	1
1	2398779	2398917	112	114_cg04341153	0
1	2457345	2457482	113	115_cg07424616	1
1	2457875	2458043	114	116_cg04015594;cg07832834;cg27173245;cg06536150;cg19516647	0
1	2458172	2458341	115	116_cg04015594;cg07832834;cg27173245;cg06536150;cg19516647	0
1	2461740	2461880	116	117_cg20430847	1
1	2477828	2477868	117	118_cg03345120	0
1	2478013	2478165	118	119_cg03529908	1
1	2478631	2478727	119	120_cg05392440	0
1	2479813	2480025	120	121_PET_CpG	1
1	2518505	2518575	121	123_cg11747516;cg25190491	0
1	2780254	2780401	122	124_PET_CpG	1
1	2785488	2785670	123	125_PET_CpG	0
1	2864001	2864126	124	126_PET_CpG	1
1	2886332	2886534	125	127_PET_CpG	1
1	2984791	2984935	126	128_cg00945293	1
1	2985416	2985489	127	129_cg17173498;cg26938364	0
1	2985616	2985768	128	130_cg25152368	1
1	2986307	2986430	129	131_cg15390554	0
1	2986486	2986635	130	132_cg12267948	1
1	2987566	2987708	131	133_cg18381051	1
1	3010379	3010947	132	134_PET_CpG	1
1	3077729	3077969	133	135_PET_CpG	1
1	3087655	3087796	134	136_cg14217558	1
1	3138973	3139129	135	137_PET_CpG	1
1	3164104	3164251	136	138_PET_CpG	1
1	3298565	3298707	137	139_PET_CpG	1
1	3310127	3310842	138	140_PET_CpG	1
1	3371027	3371124	139	141_cg16271002	0
1	3374852	3374994	140	142_PET_CpG	1
1	3408010	3408108	141	143_cg00958381	0
1	3447094	3447277	142	144_PET_CpG	1
1	3447487	3447631	143	145_cg03547631	1
1	3447662	3447803	144	146_cg13993673	1
1	3514124	3514559	145	147_PET_CpG	1
1	3527702	3527851	146	148_cg15154191	1
1	3528002	3528108	147	149_cg21830313	0
1	3535797	3535942	148	150_cg02342257	1
1	3541002	3541140	149	151_cg07453618;cg18023909	1
1	3566408	3566629	150	154_cg01101400;cg06839380;cg17801268;cg01530317;cg15120141	1
1	3566677	3566877	151	154_cg01101400;cg06839380;cg17801268;cg01530317;cg15120141	1
1	3568592	3568806	152	155_cg02153614;cg16406833;cg24336278;cg25885108	1
1	3568967	3569077	153	156_cg19783114	0
1	3593662	3593824	154	157_PET_CpG	1
1	3663495	3663598	155	158_cg15472784	0
1	3663632	3663769	156	159_cg25467973	1
1	3663968	3664146	157	160_cg03909781;cg16991768	1
1	3688680	3688828	158	161_cg04347006	1
1	3688842	3688968	159	162_cg15057442	1
1	3712909	3713060	160	163_cg14550570	1
1	3773089	3773234	161	164_cg15525503	1
1	3773239	3773380	162	165_cg00905725;cg12679050	1
1	3773569	3773881	163	166_cg08889585;cg10444080;cg11416533;cg24546680	0
1	3816619	3816766	164	167_cg12133393	1
1	3817079	3817216	165	168_cg02659673	1
1	3817774	3817920	166	169_cg18814635	1
1	3827504	3827640	167	170_cg20615379	1
1	4698551	4698708	168	172_PET_CpG	1
1	4716471	4716643	169	173_cg02483484;cg14218042	1
1	4717292	4717439	170	174_PET_CpG	1
1	5526593	5526803	171	175_PET_CpG	1
1	5582256	5582409	172	176_PET_CpG	1
1	5907431	5907581	173	177_cg07599881	1
1	6051529	6051709	174	178_cg00069017;cg07517005	1
1	6052409	6052658	175	179_cg00931619;cg05933935;cg10715425;cg15604190;cg20797142	1
1	6052691	6052835	176	180_cg12904950	1
1	6054894	6055101	177	182_PET_CpG	1
1	6086195	6086339	178	183_cg03400374	1
1	6086501	6087046	179	184_PET_CpG	1
1	6087321	6087565	180	185_PET_CpG	1
1	6087753	6088699	181	186_PET_CpG	1
1	6198461	6198596	182	187_PET_CpG	1
1	6208946	6209080	183	188_cg17831269	1
1	6214966	6215117	184	189_PET_CpG	1
1	6259101	6259247	185	190_cg21393421	1
1	6259416	6259558	186	191_cg25381775	1
1	6259621	6259782	187	192_cg04025728;cg16178974	1
1	6265339	6265487	188	193_cg03734402	1
1	6265949	6266096	189	194_cg16094412	1
1	6296012	6296132	190	195_cg10118002;cg17900884	0
1	6302094	6302239	191	196_cg05347736	1
1	6305264	6305410	192	197_cg26257210;cg26912877	0
1	6306776	6306918	193	198_cg10778407	1
1	6309264	6309409	194	199_cg15892785	1
1	6320716	6320822	195	200_cg02835494	0
1	6408637	6408988	196	201_PET_CpG	1
1	6418980	6419127	197	202_PET_CpG	1
1	6453347	6453456	198	203_cg19267259;cg22346119	0
1	6454032	6454189	199	204_cg08889373	1
1	6464853	6464907	200	205_cg04870212	0
1	6479650	6479892	201	206_cg17826013;cg23040649	1
1	6480155	6480312	202	207_cg00549463	1
1	6507950	6508100	203	208_cg19809453	1
1	6508875	6509015	204	209_cg25097074	1
1	6520276	6520442	205	210_cg13356427	1
1	6520581	6520907	206	211_PET_CpG	1
1	6526105	6526249	207	212_cg12814070	1
1	6526320	6526459	208	213_PET_CpG	1
1	6546495	6546629	209	214_cg24535622	1
1	6550100	6550228	210	215_cg19779116	1
1	6550565	6550744	211	216_cg03970039;cg08477740	1
